BUILDER_NAME;INPUT_FILE;OUTPUT_FILE;GRID_SIZE;ISO_LEVEL;FIELD_ELEMENTS;NUM_THREADS;ELAPSED_TIME;TOTAL_TRIANGLES;OUTPUT_SIZE
OpenMP Loop;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/benchmark/320.pts;;64;0.15;320;32;59;67036;
OpenMP Loop;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/benchmark/642.pts;;64;0.15;642;32;53;61952;
Octree;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/benchmark/010.pts;;64;0.15;10;1;6;7680;
Octree;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/benchmark/020.pts;;64;0.15;20;1;10;13016;
Octree;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/benchmark/040.pts;;64;0.15;40;1;23;27344;
Octree;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/benchmark/080.pts;;64;0.15;80;1;57;53520;
Octree;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/benchmark/160.pts;;64;0.15;160;1;108;92648;
Octree;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/benchmark/320.pts;;64;0.15;320;1;169;67036;
Octree;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/benchmark/642.pts;;64;0.15;642;1;300;61952;
Octree;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/benchmark/010.pts;;64;0.15;10;2;6;7680;
Octree;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/benchmark/020.pts;;64;0.15;20;2;11;13016;
Octree;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/benchmark/040.pts;;64;0.15;40;2;27;27344;
Octree;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/benchmark/080.pts;;64;0.15;80;2;55;53520;
Octree;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/benchmark/160.pts;;64;0.15;160;2;96;92648;
Octree;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/benchmark/320.pts;;64;0.15;320;2;127;67036;
Octree;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/benchmark/642.pts;;64;0.15;642;2;202;61952;
